productId;title;productPageUrl;imageUrl;offerPrice;numReviews;customerRating;upc;quantity
33AJ3FEYR24N;Safe Fit Baby Auto Mirror, 1.0 CT;https://www.walmart.com/ip/Safe-Fit-Baby-Auto-Mirror-1-0-CT/19757376;https://i5.walmartimages.com/asr/f00cc17d-c145-4c03-ae42-4d01e23e5267_1.b1684af2356b6ff554332a4c4c302d14.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;10.68;121;4.0248;0001470883000;254
5NFIQDQ33YJP;Caltrate Bone Health 600+D3 Calcium Tablets, 200 Ct;https://www.walmart.com/ip/Caltrate-Bone-Health-600-D3-Calcium-Tablets-200-Ct/10417508;https://i5.walmartimages.com/asr/6fa0a919-18ac-40e1-8899-94a39227c202_1.12ce5e2dd9741c445ffbf5e20e7cb22c.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;15.67;21;4.9048;0030005550925;794
55XPYC829V9J;UglyDolls Yours Truly Moxy Stuffed Plush Toy, 9.75 inches tall;https://www.walmart.com/ip/UglyDolls-Yours-Truly-Moxy-Stuffed-Plush-Toy-9-75-inches-tall/794879562;https://i5.walmartimages.com/asr/dd26af17-e236-4106-9206-4422ac368c3a_1.5770682ff12f3d3440a5eeab26587241.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;9.88;3;5;;327
17S26EWJH05D;A+D Zinc Oxide Diaper Rash Treatment Cream, 4 Ounce Tube;https://www.walmart.com/ip/A-D-Zinc-Oxide-Diaper-Rash-Treatment-Cream-4-Ounce-Tube/51258951;https://i5.walmartimages.com/asr/988e5601-65e8-4c59-924f-51c0658d6af9_1.67c87bf8d10e7a75620e17767ddd1434.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;8.22;11;4.4545;0004110081132;749
17UEII15027H;(2 Pack) Baby Dove Sensitive Moisture Wash, 13 oz;https://www.walmart.com/ip/2-Pack-Baby-Dove-Sensitive-Moisture-Wash-13-oz/673709585;https://i5.walmartimages.com/asr/938fbf3f-d523-41eb-8f0c-8217052f16b5_1.c1b7e3f62422faec97b5758165d62a7d.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;11.37;278;4.6763;;752
4TRH2BG7UHZL;Palmer's Cocoa Butter Formula Firming Butter;https://www.walmart.com/ip/Palmer-s-Cocoa-Butter-Formula-Firming-Butter/11965061;https://i5.walmartimages.com/asr/00484c30-81a0-4ec8-827d-a72cb1e56d6d_1.5a745fc278477c591c783d8dddd44169.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;5.18;72;4.3056;0001018114064;716
5RRN8TY8PVNR;Parent's Choice HMO & Non-GMO Sensitivity Infant Formula with Iron, 4 Pack, 33.2 oz ea;https://www.walmart.com/ip/Parent-s-Choice-HMO-Non-GMO-Sensitivity-Infant-Formula-with-Iron-4-Pack-33-2-oz-ea/407822086;https://i5.walmartimages.com/asr/bcb2c320-9164-46a3-a5a6-8ce01ea0ce5f_1.ec76304c62eed3a0cef88a47c3f0b3e2.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;69.97;143;4.6364;0068374496352;524
20NF6QVLGFL6;Babyganics Natural Insect Repellent, 6oz;https://www.walmart.com/ip/Babyganics-Natural-Insect-Repellent-6oz/111612309;https://i5.walmartimages.com/asr/72ee539e-459c-4a0e-b94f-366da1454d4f_1.0508ee2f437708db2ddf7413682f73bd.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;14.98;0;;;16
7IS03ZQRKYIO;Pampers Cruisers Diapers, Size 5, 104 Count;https://www.walmart.com/ip/Pampers-Cruisers-Diapers-Size-5-104-Count/194587142;https://i5.walmartimages.com/asr/93726999-5da3-4a94-9619-e5ac3f60c006_1.1535ae9a00d1df56522cb731ce3b5b06.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;39.76;9780;4.7006;0003700077545;527
3637RJX9U8DL;Neutrogena Hydro Boost Hyaluronic Acid Gel Eye Cream, 0.5 fl. oz;https://www.walmart.com/ip/Neutrogena-Hydro-Boost-Hyaluronic-Acid-Gel-Eye-Cream-0-5-fl-oz/40488262;https://i5.walmartimages.com/asr/6b3c0a49-9e72-476e-9c59-2d3e6348ca57_1.812bb46edce61e0b2bbfa4d0ea5149a5.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;14.97;112;4.375;0007050111049;589
34Z4W2P37ZHT;NIDO Kinder 1+ Powdered Milk Beverage 12.6 oz. Canister;https://www.walmart.com/ip/NIDO-Kinder-1-Powdered-Milk-Beverage-12-6-oz-Canister/10804314;https://i5.walmartimages.com/asr/dfe4de40-a018-48dc-af75-23ff119b0cfa_1.09b0c0d7e1d5a6929cbdeb8d9c7fdaf5.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;4.98;222;4.6802;0002800033317;181
3R7WM3B1JAOL;VTech Smart Shots Sports Center;https://www.walmart.com/ip/VTech-Smart-Shots-Sports-Center/36276651;https://i5.walmartimages.com/asr/c3328fe8-a288-42ae-ab1e-c935c0a1524f_1.4fc2b6ab4fca0540ccff6d785ebfb1ae.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;26.99;228;4.5482;0341776156300;12
31ZG5IV4G6FS;Summer Infant - Elite DuoMat Premium 2-in-1 Car Seat Protector;https://www.walmart.com/ip/Summer-Infant-Elite-DuoMat-Premium-2-in-1-Car-Seat-Protector/12572804;https://i5.walmartimages.com/asr/e0e87aab-10d9-45f8-8cf8-5add729072a4_1.e36b16c246c16084e310ff5b3a72c22f.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;20;103;4.5825;0001291477710;1898
1SMWHPVQK37U;Infantino Flip Advanced 4-in-1 Convertible Carrier;https://www.walmart.com/ip/Infantino-Flip-Advanced-4-in-1-Convertible-Carrier/45039398;https://i5.walmartimages.com/asr/9ea214ad-b4ab-4277-a286-f118e3436ba2_1.2977306c8341c402903b9fa1178622f7.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;29.69;213;4.3005;0077355400183;617
3W6THFMD3S9H;Spasilk 10 Pack Washcloths, Pink Lines;https://www.walmart.com/ip/Spasilk-10-Pack-Washcloths-Pink-Lines/518979511;https://i5.walmartimages.com/asr/8038d90f-76a2-4e7b-b4bb-5642127fef98_1.0f1d6b72528cc89ea755bce367ef4ce2.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;7.99;0;;0087498900792;2102
4GK7YPRDW840;Hello Bello Diapers Jumbo Pack - Party Poopers - (Choose your size);https://www.walmart.com/ip/Hello-Bello-Diapers-Jumbo-Pack-Party-Poopers-Choose-your-size/330883913;https://i5.walmartimages.com/asr/8433ce8a-39f0-4f99-99b2-e7129fa73de4_1.e9879b9d71b42e73f061139479dbe52d.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;7.97;207;4.6763;;4623
3KXRH8YOQKNR;Munchkin Folding Bottle Drying Rack;https://www.walmart.com/ip/Munchkin-Folding-Bottle-Drying-Rack/45727297;https://i5.walmartimages.com/asr/371f71a5-d0fb-4fa1-a8bc-e3647a7f2dba_2.e9203b41e9d6ee37f54eee08eb0729f2.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;6.97;24;4.2083;0073528244149;292
59CG7N3RKMVO;Babideal Attitude Umbrella Stroller, Boho;https://www.walmart.com/ip/Babideal-Attitude-Umbrella-Stroller-Boho/399834617;https://i5.walmartimages.com/asr/97888dd6-3fcd-4e94-9cd1-011755583e81_2.7b0aad95cbb459c3d6aa8a614b3de238.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;12;18;4.6111;;25972
1IWX250BEC1J;Babyganics Foaming Dish & Bottle Soap, Fragrance Free, 16 Fl Oz;https://www.walmart.com/ip/Babyganics-Foaming-Dish-Bottle-Soap-Fragrance-Free-16-Fl-Oz/49252294;https://i5.walmartimages.com/asr/e3c811c2-a1c9-42ca-ab9e-d6f9ba755b26_1.0c052c34fbbe6c1ccdbfcd0835227add.png?odnWidth=200&odnHeight=200&odnBg=ffffff;4.98;53;4.6981;0081327701242;114
56LPWZ1RBO1H;Mickey Mouse Toddler Boys' Training Pants, 2T, 3 Pack;https://www.walmart.com/ip/Mickey-Mouse-Toddler-Boys-Training-Pants-2T-3-Pack/55138277;https://i5.walmartimages.com/asr/33524de4-ba8b-41fb-b0a9-42f4c2729040_1.6a2f26a79f55efbb7900cae7f692d63a.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;6.47;16;4.5625;0004529903404;830
7JJX5WBT9CJK;Delta Children Turbo Race Car Bed, Twin, Multiple Colors;https://www.walmart.com/ip/Delta-Children-Turbo-Race-Car-Bed-Twin-Multiple-Colors/53322299;https://i5.walmartimages.com/asr/e1dbf962-f781-49a5-898a-5995ed9f5beb_1.f30cce9c1e2932797f541a32d74c3a46.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;199.99;190;4.3;0008021305692;2019
3OJAHTV9J1S9;Mainstays Sahara Indoor Rug Doormat;https://www.walmart.com/ip/Mainstays-Sahara-Indoor-Rug-Doormat/17653967;https://i5.walmartimages.com/asr/1504c841-f905-4891-a663-9ad6250d5ec8_1.c5c0548444a084f234e00cd2ea6ca00b.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;14.87;46;4.2609;0008609332359;954
3NNLKJDIH023;Johnson’s Touchably Soft Newborn Baby Gift Set For New Parents, 5 item;https://www.walmart.com/ip/Johnson-s-Touchably-Soft-Newborn-Baby-Gift-Set-For-New-Parents-5-item/555502160;https://i5.walmartimages.com/asr/951a301f-9564-457b-8bd9-38d77f55c2b2_1.3e87e99a70ed47f8a70b9a6c7d01a745.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;11.97;182;4.7253;0038137117750;734
5NUQJB3N722Q;(2 pack) Johnson’s Skin Nourish Baby Wash With Vanilla & Oat Extract, 16.9 fl. oz;https://www.walmart.com/ip/2-pack-Johnson-s-Skin-Nourish-Baby-Wash-With-Vanilla-Oat-Extract-16-9-fl-oz/973186340;https://i5.walmartimages.com/asr/2cea39bc-7828-4eb3-aa6c-7a808ac548bb_1.44386989baded13808f7af36690838c9.png?odnWidth=200&odnHeight=200&odnBg=ffffff;7.6;766;4.7258;;8
6NEU02V488X0;Thermos Funtainer 12 oz;https://www.walmart.com/ip/Genuine-Thermos-Paw-Patrol-Stainless-Steel-12-Ounce-Vacuum-Insulated-Bottle-with-Straw/52518376;https://i5.walmartimages.com/asr/203f2fe7-4e8b-4cc4-94b8-2e539b4dff57_1.1b17c75ecd844f1f236dea9be611b717.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;26.99;13;4;0004120569403;3742
6D0PC9HKP0LF;Bright Starts Whimsical Wild Portable Swing;https://www.walmart.com/ip/Bright-Starts-Whimsical-Wild-Portable-Swing/576071774;https://i5.walmartimages.com/asr/678f011e-7fd9-46c3-a208-8422fd935c1b_1.a7955389144beeba4c388b44836328e3.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;49.98;4;3.5;;351
5ZDYP62H9O4I;Graco SnugRide Click Connect LX Infant Car Seat Base, Black;https://www.walmart.com/ip/Graco-SnugRide-Click-Connect-LX-Infant-Car-Seat-Base-Black/22621035;https://i5.walmartimages.com/asr/a1fce760-a4cc-4e90-87d6-ce137fe04d3e_1.e26f1021426605d707cb160ec8d2f5e3.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;34.75;254;4.8425;0004740611994;13534
65MLTTMV5L46;Parent's Choice HMO & Non-GMO Advantage Infant Formula with Iron, 4 Pack, 35 oz ea;https://www.walmart.com/ip/Parent-s-Choice-HMO-Non-GMO-Advantage-Infant-Formula-with-Iron-4-Pack-35-oz-ea/780084641;https://i5.walmartimages.com/asr/7ef586dc-b3c3-429e-99d7-80fa8b192e7c_1.c226383d7205a8c9b8f8e36b3b501ff8.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;69.97;176;4.7784;0068374496351;642
